pid,abstract_no,coauthors,abstract
672,ORGS1-0586,"Jun Yong Park (Chung-Ang University), Sang Hyuk Wooh (Chung-Ang University), Chae Bin Kim (Pusan National University)","Microplastics have emerged as persistent aquatic contaminants due to their small size, diverse morphologies, and widespread distribution in natural water systems. Conventional size-exclusion membrane filters can effectively remove larger particles, but their performance is often limited for small, fibrous, or irregularly shaped microplastics and can be further compromised by membrane fouling. Adhesive filtration offers an attractive alternative by capturing particles through interfacial adhesion rather than pore-size exclusion. However, most adhesive coatings are processed using volatile organic solvents, raising concerns regarding solvent emissions, worker safety, and secondary environmental contamination. Here, we present an eco-friendly pressure-sensitive adhesive (PSA) coating based on a polarity-switchable maleic anhydride (MA) copolymer for microplastic filtration. Upon mild base treatment, the MA units undergo ring opening to form hydrophilic carboxylate groups, enabling water/ethanol-based spray coating. Subsequent thermal treatment restores hydrophobic anhydride structures, producing a water-stable adhesive layer suitable for aqueous environments. The coated filters exhibited enhanced capture of microplastics with diverse morphologies, including fragments, microspheres, and fibers, while enabling odorless and large-area coating processes. After filtration, the adhesive layer could be removed under mild basic conditions and reused for subsequent coating, enabling filter regeneration without discarding the substrate. This reversible coating/removal process supports a circular adhesive filtration strategy based on repeated coating, capture, removal, and recoating cycles. By integrating eco-friendly processing, water-stable adhesion, and coating recyclability, this PSA coating provides a simple and sustainable approach for microplastic removal from water."
663,ORGS1-0577,"Chang-Min Yoon (Department of Polymer Science and Engineering, Inha University, Incheon, Korea)","Herein, an organosilane-assisted surface treatment is investigated to enhance the interfacial reliability of flip-chip package assemblies. Interfacial voids and insufficient adhesion between solder joints and epoxy underfill remain major reliability concerns in flip-chip packaging owing to insufficient wettability during underfill dispensing. To overcome the issue, three organosilanes with different functional groups, such as 3-aminopropyltriethoxysilane (APTES), 3-glycidoxypropyltrimethoxysilane (GPTMS), and phenyltriethoxysilane (PTES), are applied to the solder bump surfaces prior to underfill dispensing. After underfill dispensing and curing, the effects of silane functionality on interfacial defect formation are evaluated by polishing-assisted cross-sectional observation using optical microscopy and field-emission scanning electron microscopy. The untreated and APTES-treated assemblies show noticeable void formation at the solder and underfill interface, indicating relatively non-uniform underfill coverage. In contrast, the GPTMS- and PTES-treated assemblies exhibit more continuous interfacial coverage with suppressed void formation. These results suggest that the glycidyl- and phenyl-functionalized silanes provide higher compatibility compared with amine-functionalized silane. Overall, this study demonstrates that a simple organosilane-assisted surface modification can effectively improve underfill adhesion and interfacial reliability in flip-chip package assemblies. - This work was supported by Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education (RS-2022-NR070869)."
1326,ORGS1-1213,"Sachi Ibuki (Kyoto Prefectural University of Medicine), Tomohiro Umeno (Kyoto Prefectural University of Medicine), Makoto Oba (Kyoto Prefectural University of Medicine), Hiroyasu Takemoto (Kyoto Prefectural University of Medicine)","In general, betaine structures consist of one cationic and one anionic moiety, allowing electrically neutral over a wide pH range for excellent antifouling properties. In contrast, we have demonstrated that diamine-derived betaine structures can be designed to switch the antifouling property to be tissue-interactive within the intended pH range. For example, ethylenediamine is mono-protonated at pH 7.4, but the di-protonation proceeds at pH < 6.5, enabling neutral net charge at physiological pH but cationic net charge under weakly acidic conditions. In this regard, pH responsiveness of cationic moieties is influenced by the adjacent chemical structures, which has prompted us to investigate the design principles based on the rearrangement in the diamine-based structures for tuning the pH responsiveness. To this end, we synthesized two ethylenediamine-derived poly(carboxybetaine)s [PGlu(DET-Car)], in which the carboxy group was appended to different amino groups of the ethylenediamine structure via an ethylene spacer: PGlu(DET-Car)_1 containing two secondary amines and PGlu(DET-Car)_2 containing one primary and one tertiary amine. pH titration revealed comparable p K a values between the two poly(carboxybetaine)s, indicating their similar protonation behavior. Nevertheless, they exhibited different trend in interaction with anionic polymers; PGlu(DET-Car)_1 formed complexes with dextran sulfate at pH < 7, whereas complex formation occurred at pH < 6 for PGlu(DET-Car)_2 system. These results suggest that rearrangement in the betaine structures arising from the carboxyl group position is a key factor governing the pH-responsive behavior of diamine-derived betaine structures."
631,ORGS1-0545,"Keonwoo Lee (Pohang University of Science and Technology (POSTECH)), Gi-Ra Yi (Pohang University of Science and Technology (POSTECH))","Colloidal self-assembly presents a versatile bottom-up approach for the fabrication of complex three-dimensional architectures, including photonic crystals with tailored bandgap properties. Among various lattice geometries, the diamond structure holds significant promise for achieving wide photonic bandgaps even with moderate refractive index contrasts. However, its inherent mechanical stability of diamond structure poses a considerable challenge for direct colloidal self-assembly and subsequent stabilization. Herein, we report a strategy for the fabrication of a free-standing diamond lattice composed of submicron-sized TiO₂ colloids. This was achieved through the self-assembly of a laves phase, wherein the target diamond network was structurally supported by an interpenetrating pyrochlore framework. Subsequent removal of pyrochlore lattice by thermal treatment realizes the direct diamond lattice. Photonic bandgap calculation of such structure predict the presence of a significant photonic bandgap in the mid-infrared spectral region, highlighting the potential of this approach for the creation of advanced photonic materials. Finally, reflectance measurements of the anatase TiO₂ diamond structure revealed a spectral region similar with the predictions from our calculations."
432,ORGS1-0348,"Min Ryu (Samsung Electronics), Hyomin Lee (POSTECH)","Photochromic optical encryption enables visual authentication through light-induced color changes but existing systems often suffer from limited color diversity, transient storage, and restricted matrix level patterning. Here, we present photopatterned photochromic polymer matrices for multi-color and time-domain optical encryption. Spiropyran, spirooxazine, and naphthopyran derivatives are embedded in a 1,6-hexanediol diacrylate (HDDA)-based matrix to form patterns with distinct colors and fading kinetics. Spectral additivity enables subtractive color mixing, while dye dependent fading time allows subsequent decoding in 7-segment digit displays. Photoluminescence provides an orthogonal cue for dual-lock encryption. A slippery transparent cover layer suppresses water droplet-induced distortion, enabling QR code authentication within a time window. This platform offers a practical route to durable, multi-color, and time-gated optical security labels."
565,ORGS1-0481,"Seunghyeon Kim (Department of Energy Science & Engineering, Daegu Gyeongbuk Institute of Science & Technology (DGIST)), Katharina Landfester (Max Planck Institute for Polymer Research)","Redox enzymes offer high selectivity in chemical transformations, but their practical applications require continuous regeneration of expensive and unstable redox cofactors. Photocatalytic cofactor regeneration has shown promise as an efficient and sustainable strategy. However, most reported systems rely on ultraviolet or blue-light excitation, frequently leading to photodamage and enzyme deactivation. Here, we present a red-light-driven photobiocatalytic platform based on well-dispersible nanoparticles of indacenodithiophene–co–benzothiadiazole (IDTBT), a conjugated polymer known for its strong red-light absorption and favorable optoelectronic properties. By employing non-ionic surfactants, IDTBT nanoparticles remain colloidally stable in enzyme-compatible aqueous buffers, enabling their application in photobiocatalysis. Under red-light irradiation, these nanoparticles efficiently catalyze the oxidation of NADH and FADH 2 , while significantly improving enzyme activity compared to conventional blue-light systems. To further suppress enzyme deactivation caused by reactive oxygen species (ROS), we implement a dual protection strategy combining silica encapsulation and catalase, effectively protecting enzymes against short- and long-lived ROS over multiple catalytic cycles. These results highlight IDTBT-based red-light-driven photocatalysis as an efficient and enzyme-compatible strategy for sustained cofactor regeneration under mild aqueous conditions"
1032,ORGS1-0934,"Jungwook Kim (Seoul national university), Jeongin Eom (Seoul national university), Kwangho Song (Seoul national university)","Poly(ethylene glycol) (PEG) is widely used in biomedical engineering and soft materials. Its oxidative degradation has been studied extensively, and recent analytical advances, including MALDI-TOF mass spectrometry, have clarified PEG oxidation products and degradation pathways. However, thermally or chemically labile species may be lost or underestimated during sample preparation, ionization, or high-temperature analysis. In this study, we identified PEG-derived peracid species, which have not previously been reported as PEG oxidation products. We further used this oxidation chemistry as a design principle for PEG nano- and microgels capable of scavenging oxygen. In the first part of the presentation, I will discuss the formation mechanism of peracids during PEG oxidation under oxygen-containing conditions, focusing on how this pathway is coupled to oxygen concentration. In the second part, I will present PEG nano- and microgels in which peracid groups are introduced as dangling chains within a crosslinked polymer network. Under mild, near-physiological conditions, the peroxide bond undergoes homolytic cleavage and serves as a radical source. The resulting hydroxyl radicals preferentially react with PEG chains inside the gel through rapid hydrogen atom transfer, inducing a cascade of oxygen-consuming reactions. This approach harnesses radical reactivity for oxygen removal while confining the reaction mainly within the PEG gel network, potentially limiting oxidative effects on the surrounding environment. Unlike conventional oxygen-control hydrogels, which often rely on enzyme-based reactions, this work presents a fully synthetic oxygen-scavenging platform based on PEG oxidation chemistry. This strategy establishes PEG nano- and microgels as reactive polymer particles for local oxygen regulation."
404,ORGS1-0320,"Juhyun Park (Chung-Ang University), Dong June Ahn (Korea University), Junsang Doh (Seoul National University), Heesoo Youn (Seoul National University), Inwook Hwang (Gwangju Institute of Science and Technology), WooHyuk Jung (Myongji University)","Aqueous organic semiconductor nanoparticles (OSNPs) are widely investigated for energy and biomedical applications, such as photocatalytic hydrogen production, carbon dioxide conversion, and photothermal or photodynamic cancer therapies. A critical factor governing their performance is the charge separation efficiency. Although conventional strategies focus on varying donor-acceptor combinations or blending ratios, we report a distinct approach by controlling the molecular assembly structure of conjugated polymers, shifting from a parallel to an intersecting backbone stacking mode. Multiscale simulations demonstrated that this structural modulation regulates macroscopic phase separation and local molecular packing, yielding OSNPs with reduced average size and enhanced structural uniformity. Spectroscopic analysis revealed that the intersecting assembly successfully induces significant photoluminescence quenching, extended charge-separation lifetimes, and accelerated charge-transfer kinetics. Under near-infrared (NIR) irradiation, this optimized morphology enabled an efficient water-oxidation-based photodynamic therapy (PDT) mechanism using H2O as an electron donor, quantitatively enhancing the generation of specific reactive oxygen species (ROS), including singlet oxygen and hydroxyl radicals. In vitro and in vivo evaluations verified that the intersecting nanoparticles exhibit exceptional cancer cell cytotoxicity and tumor suppression. Furthermore, the induction of immunogenic cell death (ICD) via this enhanced PDT triggered a potent synergistic anti-tumor immune response when combined with immune checkpoint inhibitors, offering a powerful platform for advanced biomaterials and nanomedicine."
505,ORGS1-0421,"Satoru Yamamoto (Kyushu University), Tatsuki Abe (Kyushu University), Keiji Tanaka (Kyushu University)","The aggregation states of polymer chains at buried solid interfaces play crucial roles in the adhesion properties. Thus, it is necessary to gain a deeper understanding of the molecular structure at adhesion interfaces. For example, the surface chemistry of the adherent is one of the key factors to control the aggregation states at the adhesion interfaces, thereby affecting adhesion properties. In this study, the effect of adherent surface chemistry on the local conformation of cured epoxy resin (ER) and its relationship with adhesion properties was investigated by applying sum-frequency generation (SFG) vibrational spectroscopy and molecular dynamics (MD) simulations in conjunction with surface and interfacial cutting analysis system measurements. Quartz substrates with different surface chemistries were prepared by piranha treatment and subsequent thermal annealing. SFG spectroscopy revealed that thermal annealing reduced the surface density of silanol groups of quartz substrates, and water contact angle measurements further showed that this change altered the surface wettability. Bisphenol A diglycidyl ether and 4,4′-diaminodiphenylmethane were mixed at a stoichiometric ratio, and the mixture was cured on these substrates. SFG spectra in the OH stretching region for the ER/quartz interfaces indicated that more hydrogen-bonded OH groups were present at the ER/piranha-treated quartz interface. This result was also supported by MD simulations, which further revealed that hydrogen bonding between ER and the quartz surface was significantly enhanced at the piranha-treated quartz interface. Furthermore, the peeling strength was larger for the ER/piranha-treated quartz interface than for the ER/thermally-annealed quartz interface. These results indicate that the surface chemistry of the adherends, particularly the surface density of silanol groups, enhances interfacial hydrogen bonding between ER and the adherends, resulting in increased adhesion strength."
1519,ORGS1-1384,"Junyong Park (Chung-Ang University), Sanghyuk Wooh (Chung-Ang University)","Dynamic covalent bond-based polymers, such as covalent adaptable networks (CANs) have been proposed to overcome the limitations of permanently crosslinked networks through reversible bond exchange. In particular, dynamic imine bond network is commonly used due to catalyst-free bond formation and rapid bond exchange from Schiff-base reaction. However, imine bond is highly susceptible to hydrolysis upon water exposure, which leads to undesired bond cleavage and progressive reduction in crosslink density. To address this issue, we introduce a paraffin embedded dynamic imine bond-based PDMS (PW/DI-PDMS) by incorporating hydrophobic paraffin wax as a water shielding component. The paraffin spontaneously migrates to the surface and forms a hydrophobic crystalline layer that suppresses water penetration and protects the imine bond from hydrolytic degradation. After imine bond crosslinking, paraffin is retained in an amorphous state due to spatial confinement within the PDMS network, allowing internal wax to migrate toward the surface. Internal wax can also be secreted out and reform a passivation layer even after the outermost wax has been removed. This water-resistant, self-repairable PW/DI-PDMS continuously forms a protective layer and maintains network stability, highlighting its potential for applications that require prolonged exposure to water."
691,ORGS1-0605,Shin-Hyun Kim (KAIST),"Condensation typically gives rise to uncontrolled optical scattering and coloration; however, its transient liquid interfaces offer a potential platform for rewritable visual information when nucleation and growth are spatially regulated. Here, we demonstrate that lithographically engineered wettability patterns convert water condensation into a dynamic optical medium. Hydrophilic circular domains embedded within a hydrophobic matrix localize vapor condensation into synchronized arrays of liquid microinterfaces. As the droplets evolve, their curved air–water interfaces produce structural colors through multiple total internal reflections and optical interference. Contact-line pinning and depinning induce discrete optical transitions, whereas the size and spacing of condensation sites govern color hue, intensity, and temporal evolution. Leveraging these design principles, we realize multicolor patterns, temporally encoded hidden images, and breath-activated write–erase–rewrite cycles. These findings establish programmable condensation as a strategy for transforming a transient environmental phenomenon into a platform for dynamic optical information encoding."
1636,ORGS1-1499,"Shuo Chen (The University of Tokyo), Kang Xia (The University of Tokyo), Kazuya Yamaguchi (The University of Tokyo), E. W. Meijer (Eindhoven University of Technology), Takuzo Aida (The University of Tokyo)","Organic/inorganic hybrid materials offer a synergistic pathway to combine the processability of organic polymers with the electronic and catalytic functionalities of inorganic units. Among inorganic building blocks, polyoxometalates (POMs) are particularly attractive for their rich redox chemistry and photocatalytic potential. However, realizing their full potential is frequently hindered by miscibility issues and burial of active sites. Achieving a molecular-level dispersion of POMs while maintaining their accessibility remains a critical challenge in material science. To overcome these limitations, this study leverages the concept of supramolecular ionic polymerization recently pioneered by our laboratory, wherein multivalent guanidinium cations and oxyanions are salt-bridged to form crosslinked polymer networks. Here, POMs are introduced as oxyanionic monomers to undergo alternating copolymerization with cationic polyguanidinium monomers, forming functional organic/inorganic hybrid supramolecular polymers. While bulk dispersion addresses homogeneity, catalytic efficiency is often diffusion-limited in 3D networks. To maximize the exposure of the photoactive POM units, we further advanced this methodology by developing a two-dimensional (2D) confined supramolecular ionic polymerization strategy at the water/organic interface. By restricting the polymerization to a liquid-liquid interface, we successfully fabricated ultra-thin, free-standing hybrid nanofilms. This interfacial confinement not only directs the growth of the supramolecular network into high-aspect-ratio 2D structures but also ensures that the POM catalytic centers reside on the material surface, unencumbered by the steric bulk of a surrounding matrix resulting in efficient photocatalytic aerobic α-oxygenation of amides to imides."
710,ORGS1-0624,Eunji Lee (Gwangju Institute of Science and Technology),"Molecular doping tunes the electronic and morphological properties of conjugated polymers, yet how donor-acceptor interaction shapes the resulting nanostructure remains unclear. Here, a polythiophene-based conjugated polymer and a strong, high-electron-affinity fluorinated acceptor co-assemble in solution into one-dimensional co-crystalline nanowires. Cryo-TEM resolves the lamellar lattices within single nanowires and reveals an inter-lamellar spacing expanded relative to the undoped polymer, indicating intercalation of the acceptor between the alkyl side chains. A redshift of the C≡N stretch (FT-IR), polaron and anion absorptions (UV-vis), and unpaired-spin growth (EPR) establish integer charge transfer; a structurally analogous acceptor with a shallower LUMO reproduces none of these, showing that an electron-affinity threshold triggers assembly. The acceptor thus occupies the alkyl region between lamellae, providing both the driving force and template for one-dimensional growth"
335,ORGS1-0252,,"Poly(vinylidene fluoride) (PVdF) has been widely used as a binder in lithium-ion battery (LIB) due to its excellent chemical stability, electrochemical inertness, and strong adhesion to electrode components. As research attention shifts toward all-solid-state batteries (ASSBs), however, new slurry-processing challenges emerge. ASSB electrode fabrication requires PVdF-based binders that are dispersible in organic solvents such as butyl butyrate (BB), rather than the conventionally used N-methyl-2-pyrrolidone (NMP). A molecular-level understanding of binder–surface interactions in these solvent environments is therefore essential for the rational design of next-generation binder systems. In this study, molecular dynamics (MD) simulations are employed to investigate the adsorption behavior of two PVdF-based copolymers, PVdF-TFE and PVdF-HFP, dissolved in BB solvent, on both graphite anode and NMC cathode surfaces. For the anode, all-atom MD simulations based on the OPLS-AA force field are used to examine how binder type and chain length influence adsorption behavior; the results reveal distinct adsorption preferences governed by differences in entropic loss upon surface adsorption. For the cathode material NMC ( LiN i 0.8 M n 0.1 C o 0.1 O 2 ), a machine learning interatomic potential (MLIP) is integrated to overcome the limitations of classical MD in representing the complex oxide surface. An oligomer-based extrapolation strategy further enables the simulation of realistic polymer chain lengths, allowing the adsorption mechanism of PVdF-based binders at the NMC interface to be elucidated at the atomic level, providing fundamental insight into binder–cathode interactions."
1146,ORGS1-1047,"Todd Emrick (University of Massachusetts Amherst), Thomas P. Russell (University of Massachusetts Amherst)","Acid-responsive bottlebrush random copolymers (BRCPs) bearing solketal-substituted and unsubstituted polystyrene side chains were synthesized via graft-through ring-opening metathesis polymerization. At the water/oil interface, exposure to acidic aqueous conditions induced in situ hydrolysis of hydrophobic solketal groups into 1,2-diols, transforming the BRCPs into amphiphilic macromolecular surfactants. Time-resolved pendant-drop tensiometry revealed two relaxation regimes corresponding to interfacial adsorption and hydrolysis-driven reorganization. Hydrolysis followed first-order kinetics with apparent rate constants of approximately 0.06–0.14 h ⁻ ¹; longer backbones accelerated hydrolysis, while higher grafting densities slowed interfacial reorganization due to steric constraints. Upon acid exposure, the interfacial tension decreased from approximately 25 to 10 mN m ⁻ ¹, and spontaneous emulsification was observed in short-backbone, densely grafted BRCPs. These results demonstrate how bottlebrush architecture and grafting density govern dynamic interfacial responsiveness, providing design rules for stimuli-triggered emulsification and adaptive soft materials."
341,ORGS2-0258,Ki Su Kim (Hanyang University),"The field of photomedicine has rapidly advanced as a promising strategy for non-invasive cancer therapy by enabling spatiotemporally controlled therapeutic activation using light. Especially, near infrared (NIR)-responsive photomedicine has garnered considerable attention due to its deep tissue penetration and reduced scattering within tissues. However, limitations such as instability in physiological environments, potential toxicity, and insufficient tumor-targeted delivery still remain to be fully addressed. In order to overcome these challenges, this study aims to develop hyaluronic acid (HA)-engineered nanoplatforms for NIR-activated cancer therapy, thereby allowing improved biocompatibility and CD44-mediated tumor targeting potential. First, HA-Poly(lactide-co-glycolic acid) (HA-PLGA) nanoparticles (NPs) were designed, which co-encapsulated MXene and paclitaxel (PTX), enabling the dual delivery of heat and therapeutic agents to tumor sites. HA-PLGA conjugates were employed as the structural framework to enable enhanced drug loading and controlled release under NIR irradiation, thereby optimizing the overall performance. In vivo anti-tumor experiments confirmed the enhanced therapeutic efficacy of our NPs, with a tumor inhibition rate reaching ~95.7%, compared to chemotherapy or PTT alone. Second, upconversion nanoparticles (UCNPs)-encapsulated HA nanogels were developed as efficient carriers to enhance cellular internalization and minimize side effects for photodynamic therapy. The nanogels were synthesized by Cu-free click chemistry between HA-methyltetrazine (HA-Tz) and HA-trans-cyclooctene (HA-TCO), offering biocompatible polymeric network for improved tumor accumulation. In vivo evaluation demonstrated UCNP-encapsulated nanogels with NIR significantly suppressed tumor progression. Taken together, these studies highlight a versatile hyaluronic acid-encapsulation strategy for improving the stability, delivery, and antitumor efficacy of phototherapy."
957,ORGS2-0867,Kuen Yong Lee (Hanyang University),"Melanoma is an aggressive skin cancer in which immune checkpoint blockade has improved treatment outcomes, but many tumors show limited or transient responses. Aggressive or drug-resistant cancers often rely on lipid uptake and fatty acid handling for survival, invasion, and adaptation to therapeutic stress. Therefore, we proposed palmitic acid-integrated gas-generating polymeric nanoparticles (PA-gPN) to induce necrotic melanoma cell death and improve the response to anti-PD-L1 therapy. PA-gPN consisted of PLGA, integrated palmitic acid for fatty acid-associated uptake, and calcium carbonate as an acid-responsive CO₂-generating component. In B16-F10 melanoma cells, PA-integrated nanoparticles showed higher cellular uptake than non-modified nanoparticles, and this uptake was reduced by inhibition of FABP and CD36, suggesting the involvement of fatty acid-associated pathways. After intracellular delivery, PA-gPN generated CO2 under acidic endosomal/lysosomal conditions, leading to membrane disruption and necrotic cell death. The treatment also increased the release of DAMPs, including ATP, HSP70, and HMGB1, and promoted macrophage-mediated phagocytosis of dying melanoma cells. In B16-F10 melanoma-bearing mice, intratumoral injection of PA-gPN combined with systemic anti-PD-L1 antibody suppressed tumor growth more effectively than either treatment alone. The combination reduced tumor weight, prolonged survival, and increased TUNEL-positive tumor cell death and CD8+ T cell infiltration. In a secondary tumor challenge model, the same combination suppressed both primary and secondary tumor growth and enhanced immune activation in tumor-draining lymph nodes, spleen, and tumor tissues. These results suggest that PA-gPN can link fatty acid-associated delivery, gas-generating necrotic cell death, and antitumor immune activation. This polymeric nanoparticle platform may provide a useful strategy for enhancing immune checkpoint blockade in lipid metabolism-active melanoma."
616,ORGS2-0530,Minseok Kwak (Pukyong National University),"In our previous work, F127-based semi-interpenetrating network (sIPN) nanoparticles with tunable surface charge were developed by incorporating phosphate- and trimethylammonium-functionalized F127. Varying their ratio controlled the surface charge density, and positively charged nanoparticles showed significantly enhanced cellular uptake in HeLa cells, demonstrating the versatility of the sIPN platform. Building on this platformn, the sIPN was repurposed as a redox-active material for glucose sensing. Screen-printed carbon electrodes (SPEs) were electrochemically activated and modified with Fc sIPNs, after which a spin-coated polyacrylamide (PAAm) layer was introduced to improve nanoparticle retention and mediator stability, followed by glucose oxidase (GOx) immobilization. Cyclic voltammetry confirmed reversible ferrocene redox through each step, and chronoamperometry showed a concentration-dependent glucose response, demonstrating their use as both nanocarriers and electroactive mediator platforms for glucose biosensing. These findings demonstrate that F127-based sIPN nanoparticles can serve as both nanocarriers and electroactive materials, highlighting their potential as stable mediator platforms for glucose biosensing."
103,ORGS2-0027,"Markus Müllner (The University of Sydney), Byeong-Su Kim (Yonsei University), Byungwoo Yoo (Yonsei University), Jinsu Baek (Yonsei University), Haoxiang Zeng (The University of Sydney)","Precise control over two-dimensional (2D) polymer nanostructures remains a fundamental challenge, as polymer self-assembly overwhelmingly favors spherical morphologies. Here, we introduce a topology-driven design strategy that overcomes this limitation, enabling the predictable and modular formation of amorphous polymer nanodiscs. Our strategy decouples nanodisc diameter from bottlebrush chemistry. By systematically varying the length of hydrophobic poly(ethoxyethyl glycidyl ether) (PEE) side chains in the bottlebrush segment, we obtain precise control over nanodisc diameter while maintaining uniform thickness. This tunability allows investigation of size-dependent cellular interactions using MDA-MB-231 cancer cells. Importantly, these nanodiscs were further engineered as pH-responsive carriers capable of disassembling under acidic conditions, enabling triggered release of encapsulated cargo and providing a versatile platform for regulating biological functions."
1484,ORGS2-1352,"Seung Soo Oh (Pohang University of Science and Technology(POSTECH)), Hyesung Jo (Northwestern university)","Adeno-associated virus (AAV) has emerged as one of the most promising vectors for in vivo gene therapy because of its excellent safety profile, broad tissue tropism, and long-term transgene expression. Consequently, AAV-based therapeutics have achieved remarkable clinical success across a wide range of genetic diseases. Despite these advances, the limited packaging capacity of AAV remains a major obstacle to the delivery of large or functionally complex genetic payloads, often requiring multiple vectors to achieve therapeutic outcomes. Here, we present a programmable strategy for assembling different AAV vectors using our previously developed ultra-site-specific bioconjugation chemistry. This modular approach enables the controlled association of AAV particles carrying different genetic cargos, providing a potential route toward coordinated multivector gene delivery and expanded cargo capacity."
1668,ORGS2-1531,Won Jong Kim (POSTECH),"Inflammatory bowel disease (IBD) is driven by intertwined epithelial barrier dysfunction, excessive mucosal inflammation, and gut microbial dysbiosis. Butyrate is a microbiota-derived metabolite that supports intestinal homeostasis, but direct administration of free butyrate is limited by poor acceptability, rapid intestinal absorption, and insufficient local availability. At the same time, excessive nitric oxide (NO) production in the inflamed intestine aggravates nitrosative stress and inflammatory tissue damage. Here, we report NSc@NP, an oral bioactive polymeric nanoparticle designed to co-regulate two pathological features of the inflamed intestinal microenvironment: reduced microbial metabolite availability and excessive NO accumulation. NSc@NPs were formed by self-assembly of esterase-cleavable butyrate-containing amphiphilic polymers and encapsulation of an o-phenylenediamine-derived NO scavenger. The nanoparticles showed gastrointestinal stability, retained NO-scavenging activity, and released butyrate in response to esterase-containing simulated intestinal fluid. In vitro, NSc@NPs suppressed NO-associated inflammatory responses in activated macrophages and protected epithelial barrier integrity in a macrophage/Caco-2 co-culture model. In DSS-induced colitis mice, oral NSc@NP treatment alleviated disease symptoms, reduced colonic inflammatory stress, restored intestinal barrier function, and shifted gut microbial composition toward a more homeostasis-associated profile. These findings suggest a bioactive materials strategy for treating intestinal inflammation by integrating microbial metabolite restoration with nitrosative stress regulation."
88,ORGS2-0012,"Martina H. Stenzel (University of New South Wales), Giulia Silvani (University of New South Wales), Kristopher Alan Kilian (University of New South Wales)","Brain cancer is one of the deadliest diseases in the world due to the blood-brain barrier which blocks the drugs from reaching the target tissue. With the discovery of the glucose transporter 1 (GLUT-1) receptors and its high expression level in blood brain barrier (BBB). Targeting GLUT-1 holds great promise in drug delivery for brain cancer treatment. However, synthesizing different types of suitable GLUT-1 targeting nanoparticles with the ideal size for drug delivery remains to be a challenge. What’s more, A 3D-Bioprinted Vascularized Glioblastoma-on-a-Chip is designed as a vitro BBB model for investigating the biodistribution of several nanoparticle system. Therefore, there are two designed different nanoparticle systems for drug delivery: Glyconanoparticle and Polymeric Lipid Nanoparticle. Glyconanoparticle consists of cationic glycopolymer and negatively charged drug (DNA/SiRNA) self-assembling via microfluidic chips. Polymeric Lipid Nanoparticle consists of a lipid core (negatively charged polymer DNA and cationic phospholipid DODMA) and a polymeric shell (amphiphilic polymer) self-assembling via micromixer (Figure 1B). In the present work, Temozolomide (TMZ), which is a chemotherapy drug for brain tumours, is encapsulated by amphiphilic polymer via micromixer. The cytotoxicity of the nanoparticles is tested using Human Umbilical Vein Endothelial Cells (HUVECs), which is used to coat the vessel channel in the BBB model. Finally, the biodistribution of the TMZ nanoparticle is investigated in this in vitro BBB model."
1094,ORGS2-0996,"Jun Seok Park (Kyungpook National University Chilgok Hospital), Ji Hyun Ryu (Wonkwang University)","Gastrointestinal leakage is difficult to control because intestinal tissue is wet, deformable, and exposed to intraluminal pressure. An effective sealant must reinforce early wound apposition while minimizing pathological adhesion to surrounding organs. Here, we present a mechanically programmed Janus hydrogel patch that functions as a one-shot, hydration-triggered actuator for sutureless gastrointestinal sealing. The patch consists of a tissue-facing gallic acid-conjugated chitosan (CG) layer and a peritoneal-facing crosslinked hyaluronic acid (cHA) backing. CG provides gallol-mediated wet adhesion, while cHA provides a hydrated anti-adhesive and swelling-responsive network. The CG/cHA bilayer was fabricated by sequential freezing and lyophilization, followed by secondary network compaction. This step densifies the CG adhesive interface and stores recoverable elastic energy in the cHA backing. Upon exposure to physiological fluid, the compressed cHA layer rapidly undergoes hydration-triggered self-deployment. Under confinement, this expansion is converted into active tamponade pressure, generating approximately 4–26 mmHg. This transient pressure reinforces the critical early sealing stage by pressing the adhesive interface against the defect, while the hydrated cHA surface subsequently serves as an anti-adhesive barrier. UV–Vis spectroscopy, 1H NMR, rheology, and FE-SEM confirmed gallol conjugation, cHA network formation, and compaction-induced densification. Ex vivo intestinal models showed compaction- and confinement-enhanced burst resistance. In a high-mortality sutureless cecal puncture model, optimized CG-HA achieved complete survival, reduced pathological adhesion, and supported organized mucosal restoration. These findings suggest that hydration-triggered mechanical programming can create active biointerface hydrogel patches for sutureless gastrointestinal repair."
